env,geno,rep,rytha,fytha,dm
AD08,Beauregard,1,0.7,6.25,28.5
AD08,Beauregard,2,7.5,13.5,31.5
AD08,Blesbok,1,4.95,10.1,28.25
AD08,Blesbok,2,3.1,10.6,26.85
AD08,Brondal,1,4.8,15.15,31.95
AD08,Brondal,2,5,14.9,31.25
AD08,CEMSA_74-228,1,5.95,9.1,30.8
AD08,CEMSA_74-228,2,4.85,9.2,33.7
AD08,Jewel,1,3.6,10.1,26
AD08,Jewel,2,5.35,14.45,28.8
AD08,Jonathan,1,1.4,3.4,22.25
AD08,Jonathan,2,2.5,6.8,22.05
AD08,Mohc,1,1.35,6.15,29.75
AD08,Mohc,2,1.6,8.3,29.6
AD08,NCSU_1560,1,1.85,3.45,31.55
AD08,NCSU_1560,2,2.7,5.05,29.35
AD08,Resisto,1,1.65,5.65,29.55
AD08,Resisto,2,1.55,7.5,30.5
AD08,Santo_Amaro,1,0.1,3.65,30
AD08,Santo_Amaro,2,2.25,10.95,32.9
AD08,Tanzania,1,2.4,15.05,37.45
AD08,Tanzania,2,4.4,15.9,32.85
AD08,Xushu_18,1,4,6.7,33.05
AD08,Xushu_18,2,3.6,6.8,25.75
AD08,Yanshu_1,1,5.6,12.8,30.75
AD08,Yanshu_1,2,6.75,16.3,32
AW09,Beauregard,1,13.55,22.65,22.7
AW09,Beauregard,2,13.5,18.65,22.5
AW09,Blesbok,1,21.45,25,25.5
AW09,Blesbok,2,11.1,19.85,24.15
AW09,Brondal,1,19.45,23.8,29.3
AW09,Brondal,2,21.45,39.3,29.55
AW09,CEMSA_74-228,1,24.1,32.45,32.2
AW09,CEMSA_74-228,2,19.25,34.75,33.65
AW09,Jewel,1,10.1,20.4,25.3
AW09,Jewel,2,12.65,25.4,29.35
AW09,Jonathan,1,13.65,16.85,29.7
AW09,Jonathan,2,16.3,21.4,29.9
AW09,Mohc,1,26.6,45.6,33.6
AW09,Mohc,2,15.9,22.2,32.15
AW09,NCSU_1560,1,17.45,26.15,26.3
AW09,NCSU_1560,2,18.25,28.95,25.75
AW09,Resisto,1,8.9,13.3,29.75
AW09,Resisto,2,19.6,25.2,30.35
AW09,Santo_Amaro,1,9.7,22.25,37.45
AW09,Santo_Amaro,2,38.5,54.75,37.45
AW09,Tanzania,1,11.35,18.9,36.85
AW09,Tanzania,2,11.15,20.65,36.25
AW09,Xushu_18,1,21.3,39.2,30.55
AW09,Xushu_18,2,24,28.8,29.35
AW09,Yanshu_1,1,6.15,16.5,22.9
AW09,Yanshu_1,2,9.15,17.85,22.9
CH06,Beauregard,1,19.26,2.89,23.71
CH06,Beauregard,2,36.3,4.3,26.44
CH06,Blesbok,1,31.85,18.22,35.86
CH06,Blesbok,2,38.52,12,38.89
CH06,Brondal,1,19.26,9.26,28.99
CH06,Brondal,2,21.48,6.89,31.41
CH06,CEMSA_74-228,1,15.19,12.67,30.18
CH06,CEMSA_74-228,2,36.3,10.89,37.67
CH06,Jewel,1,37.04,9.78,25.45
CH06,Jewel,2,23.7,8.44,27.78
CH06,Jonathan,1,34.3,9.26,28.88
CH06,Jonathan,2,20.59,9.26,32.6
CH06,Mohc,1,27.41,9.26,36.71
CH06,Mohc,2,33.19,10.15,38.07
CH06,NCSU_1560,1,25.19,8.96,24.25
CH06,NCSU_1560,2,32.22,6.59,26.93
CH06,Resisto,1,13.78,6.89,26.59
CH06,Resisto,2,21.85,6.59,26.98
CH06,Santo_Amaro,1,48.89,10.15,33.33
CH06,Santo_Amaro,2,25.19,12.67,37.25
CH06,Tanzania,1,5.56,12,33.4
CH06,Tanzania,2,28.89,14.89,37.8
CH06,Xushu_18,1,20,10.89,30.28
CH06,Xushu_18,2,38.52,7.93,29.08
CH06,Yanshu_1,1,1.48,6.59,32.15
